"filename", "language", "JavaScript", "TypeScript", "HTML", "Draw.io", "comment", "blank", "total"
"/home/josh/repos/doughleap/frontend/src/app/settings/settings.component.html", "HTML", 0, 0, -216, 0, -12, -10, -238
"/home/josh/repos/doughleap/frontend/src/app/settings/settings.component.ts", "TypeScript", 0, -137, 0, 0, -1, -6, -144
"/home/josh/repos/doughleap/frontend/src/app/shared/state/app-state.ts", "TypeScript", 0, -8, 0, 0, 0, -2, -10
"/home/josh/repos/doughleap/frontend/src/app/shared/state/shared-actions.ts", "TypeScript", 0, -2, 0, 0, 0, -2, -4
"/home/josh/repos/doughleap/frontend/src/app/shared/state/shared-reducers.ts", "TypeScript", 0, -10, 0, 0, 0, -3, -13
"/home/josh/repos/doughleap/frontend/src/app/shared/state/shared-selectors.ts", "TypeScript", 0, -5, 0, 0, 0, -3, -8
"/home/josh/repos/doughleap/frontend/src/app/shared/state/shared-state.ts", "TypeScript", 0, -82, 0, 0, 0, -7, -89
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/add-request-confirmation/add-request-confirmation-modal.component.html", "HTML", 0, 0, -12, 0, 0, 0, -12
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/add-request-confirmation/add-request-confirmation-modal.component.ts", "TypeScript", 0, -21, 0, 0, 0, -4, -25
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/add-request-error/add-request-error-modal.component.html", "HTML", 0, 0, -22, 0, -5, 0, -27
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/add-request-error/add-request-error-modal.component.ts", "TypeScript", 0, -21, 0, 0, 0, -4, -25
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/app-notfound/app-notfound.component.html", "HTML", 0, 0, -1, 0, 0, -1, -2
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/app-notfound/app-notfound.component.ts", "TypeScript", 0, -10, 0, 0, 0, -3, -13
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/confirmation-modal/confirmation-modal.component.html", "HTML", 0, 0, -12, 0, 0, 0, -12
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/confirmation-modal/confirmation-modal.component.ts", "TypeScript", 0, -16, 0, 0, 0, -2, -18
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/delete-request-confirmation/delete-request-confirmation-modal.component.html", "HTML", 0, 0, -22, 0, 0, 0, -22
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/delete-request-confirmation/delete-request-confirmation-modal.component.ts", "TypeScript", 0, -19, 0, 0, 0, -4, -23
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/delete-request-error/delete-request-error-modal.component.html", "HTML", 0, 0, -22, 0, 0, 0, -22
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/delete-request-error/delete-request-error-modal.component.ts", "TypeScript", 0, -19, 0, 0, 0, -3, -22
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/dl-table-full-filters/dl-table-full-filters.component.html", "HTML", 0, 0, -170, 0, -2, -2, -174
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/dl-table-full-filters/dl-table-full-filters.component.ts", "TypeScript", 0, -178, 0, 0, -2, -21, -201
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/dl-table-full/dl-table-full.component.html", "HTML", 0, 0, -179, 0, -1, -1, -181
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/dl-table-full/dl-table-full.component.ts", "TypeScript", 0, -314, 0, 0, -6, -25, -345
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/error-modal/error-modal.component.html", "HTML", 0, 0, -24, 0, 0, -1, -25
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/error-modal/error-modal.component.ts", "TypeScript", 0, -20, 0, 0, 0, -3, -23
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/currency-filter-modal/currency-filter-modal.component.html", "HTML", 0, 0, -1, 0, 0, -1, -2
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/currency-filter-modal/currency-filter-modal.component.ts", "TypeScript", 0, -10, 0, 0, 0, -3, -13
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/date-filter-modal/date-filter-modal.component.html", "HTML", 0, 0, -104, 0, -2, -2, -108
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/date-filter-modal/date-filter-modal.component.ts", "TypeScript", 0, -131, 0, 0, -3, -11, -145
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/numeric-filter-modal/numeric-filter-modal.component.html", "HTML", 0, 0, -83, 0, -2, -2, -87
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/numeric-filter-modal/numeric-filter-modal.component.ts", "TypeScript", 0, -112, 0, 0, 0, -10, -122
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/string-filter-modal/string-filter-modal.component.html", "HTML", 0, 0, -63, 0, -2, -2, -67
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/filterModals/string-filter-modal/string-filter-modal.component.ts", "TypeScript", 0, -80, 0, 0, -2, -8, -90
"/home/josh/repos/doughleap/frontend/src/app/shared/ui/update-request-confirmation/update-request-confirmation-modal.component.html", "HTML", 0, 0, -12, 0, 0, 0, -12
