"filename", "language", "JavaScript", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\delete-ingredient-modal\delete-ingredient-modal.component.html", "HTML", 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\delete-ingredient-modal\delete-ingredient-modal.component.ts", "TypeScript", 0, -53, 0, 0, 0, -1, -8, -62
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\edit-ingredient-modal\edit-ingredient-modal.component.html", "HTML", 0, 0, -123, 0, 0, -2, -6, -131
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\edit-ingredient-modal\edit-ingredient-modal.component.ts", "TypeScript", 0, -159, 0, 0, 0, 0, -14, -173
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\ingredient-details-modal\ingredient-details-modal.component.html", "HTML", 0, 0, -154, 0, 0, -7, -5, -166
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\ingredient-details-modal\ingredient-details-modal.component.ts", "TypeScript", 0, -245, 0, 0, 0, -3, -24, -272
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\data\tool.service.ts", "TypeScript", 0, -81, 0, 0, 0, 0, -13, -94
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\state\tool-actions.ts", "TypeScript", 0, -76, 0, 0, 0, 0, -7, -83
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\state\tool-effects.ts", "TypeScript", 0, -126, 0, 0, 0, 0, -6, -132
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\state\tool-reducers.ts", "TypeScript", 0, -98, 0, 0, 0, 0, -2, -100
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\state\tool-selectors.ts", "TypeScript", 0, -13, 0, 0, 0, 0, -8, -21
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\state\tool-state.ts", "TypeScript", 0, -20, 0, 0, 0, 0, -2, -22
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\tools.component.html", "HTML", 0, 0, -127, 0, 0, -9, -7, -143
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\tools.component.ts", "TypeScript", 0, -192, 0, 0, 0, -2, -24, -218
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\add-tool-modal\add-tool-modal.component.html", "HTML", 0, 0, -92, 0, 0, -2, -4, -98
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\add-tool-modal\add-tool-modal.component.ts", "TypeScript", 0, -94, 0, 0, 0, 0, -10, -104
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\delete-tool-modal\delete-tool-modal.component.html", "HTML", 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\delete-tool-modal\delete-tool-modal.component.ts", "TypeScript", 0, -53, 0, 0, 0, -1, -7, -61
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\edit-tool-modal\edit-tool-modal.component.html", "HTML", 0, 0, -84, 0, 0, -2, -3, -89
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\edit-tool-modal\edit-tool-modal.component.ts", "TypeScript", 0, -108, 0, 0, 0, 0, -15, -123
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\tool-details-modal\tool-details-modal.component.html", "HTML", 0, 0, -143, 0, 0, -7, -5, -155
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\tool-details-modal\tool-details-modal.component.ts", "TypeScript", 0, -240, 0, 0, 0, -3, -25, -268
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\kitchen-page.component.html", "HTML", 0, 0, -29, 0, 0, -3, -2, -34
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\kitchen-page.component.ts", "TypeScript", 0, -26, 0, 0, 0, 0, -6, -32
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-actions.ts", "TypeScript", 0, -16, 0, 0, 0, 0, -3, -19
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-interfaces.ts", "TypeScript", 0, -16, 0, 0, 0, 0, -2, -18
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-reducers.ts", "TypeScript", 0, -18, 0, 0, 0, -1, -4, -23
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-selectors.ts", "TypeScript", 0, -6, 0, 0, 0, 0, -2, -8
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-state.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, -4
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\data\profile.service.ts", "TypeScript", 0, -58, 0, 0, 0, 0, -13, -71
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\profile.component.html", "HTML", 0, 0, -230, 0, 0, -14, -10, -254
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\profile.component.ts", "TypeScript", 0, -113, 0, 0, 0, -1, -12, -126
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\state\profile-actions.ts", "TypeScript", 0, -124, 0, 0, 0, 0, -12, -136
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\state\profile-effects.ts", "TypeScript", 0, -130, 0, 0, 0, -35, -14, -179
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\state\profile-reducers.ts", "TypeScript", 0, -184, 0, 0, 0, 0, -2, -186
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\state\profile-selectors.ts", "TypeScript", 0, -24, 0, 0, 0, 0, -16, -40
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\state\profile-state.ts", "TypeScript", 0, -38, 0, 0, 0, 0, -3, -41
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\ui\edit-photo-modal\edit-photo-modal.component.html", "HTML", 0, 0, -69, 0, 0, -2, -4, -75
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\ui\edit-photo-modal\edit-photo-modal.component.ts", "TypeScript", 0, -149, 0, 0, 0, -8, -13, -170
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\ui\edit-profile-modal\edit-profile-modal.component.html", "HTML", 0, 0, -81, 0, 0, -2, -3, -86
"c:\Users\Josh\repos\doughleap\frontend\src\app\profile\ui\edit-profile-modal\edit-profile-modal.component.ts", "TypeScript", 0, -83, 0, 0, 0, 0, -8, -91
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-category.service.ts", "TypeScript", 0, -35, 0, 0, 0, 0, -6, -41
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-ingredients.service.ts", "TypeScript", 0, -70, 0, 0, 0, 0, -10, -80
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-step.service.ts", "TypeScript", 0, -61, 0, 0, 0, 0, -10, -71
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-tool.service.ts", "TypeScript", 0, -61, 0, 0, 0, 0, -10, -71
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe.service.ts", "TypeScript", 0, -247, 0, 0, 0, -1, -22, -270
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\step.service.ts", "TypeScript", 0, -50, 0, 0, 0, 0, -9, -59
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\public-recipe\public-recipe.component.html", "HTML", 0, 0, -167, 0, 0, -7, -6, -180
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\public-recipe\public-recipe.component.ts", "TypeScript", 0, -240, 0, 0, 0, 0, -13, -253
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\recipe.component.html", "HTML", 0, 0, -427, 0, 0, -12, -9, -448
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\delete-recipe-modal\delete-recipe-modal.component.html", "HTML", 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\delete-recipe-modal\delete-recipe-modal.component.ts", "TypeScript", 0, -56, 0, 0, 0, -1, -8, -65
