"filename", "language", "JSON", "JavaScript", "Log", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\add-tool-modal\add-tool-modal.component.ts", "TypeScript", 0, 0, 0, -94, 0, 0, 0, 0, -10, -104
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\delete-tool-modal\delete-tool-modal.component.html", "HTML", 0, 0, 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\delete-tool-modal\delete-tool-modal.component.ts", "TypeScript", 0, 0, 0, -53, 0, 0, 0, -1, -7, -61
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\edit-tool-modal\edit-tool-modal.component.html", "HTML", 0, 0, 0, 0, -84, 0, 0, -2, -3, -89
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\tools\ui\edit-tool-modal\edit-tool-modal.component.ts", "TypeScript", 0, 0, 0, -108, 0, 0, 0, 0, -15, -123
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\kitchen-page.component.html", "HTML", 0, 0, 0, 0, -104, 0, 0, -2, -2, -108
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\kitchen-page.component.ts", "TypeScript", 0, 0, 0, -27, 0, 0, 0, 0, -6, -33
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-actions.ts", "TypeScript", 0, 0, 0, -16, 0, 0, 0, 0, -3, -19
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-interfaces.ts", "TypeScript", 0, 0, 0, -16, 0, 0, 0, 0, -2, -18
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-reducers.ts", "TypeScript", 0, 0, 0, -18, 0, 0, 0, -1, -4, -23
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-selectors.ts", "TypeScript", 0, 0, 0, -6, 0, 0, 0, 0, -2, -8
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\state\kitchen-state.ts", "TypeScript", 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-category.service.ts", "TypeScript", 0, 0, 0, -47, 0, 0, 0, 0, -9, -56
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-ingredients.service.ts", "TypeScript", 0, 0, 0, -53, 0, 0, 0, 0, -9, -62
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-step.service.ts", "TypeScript", 0, 0, 0, -45, 0, 0, 0, 0, -9, -54
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe-tool.service.ts", "TypeScript", 0, 0, 0, -49, 0, 0, 0, 0, -9, -58
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\recipe.service.ts", "TypeScript", 0, 0, 0, -150, 0, 0, 0, 0, -12, -162
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\data\step.service.ts", "TypeScript", 0, 0, 0, -41, 0, 0, 0, 0, -8, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\recipe.component.html", "HTML", 0, 0, 0, 0, -204, 0, 0, -8, -4, -216
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\recipe.component.ts", "TypeScript", 0, 0, 0, -408, 0, 0, 0, -1, -27, -436
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\delete-recipe-modal\delete-recipe-modal.component.html", "HTML", 0, 0, 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\delete-recipe-modal\delete-recipe-modal.component.ts", "TypeScript", 0, 0, 0, -56, 0, 0, 0, -1, -8, -65
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\edit-recipe-modal\edit-recipe-modal.component.html", "HTML", 0, 0, 0, 0, -202, 0, 0, -2, -4, -208
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\edit-recipe-modal\edit-recipe-modal.component.ts", "TypeScript", 0, 0, 0, -245, 0, 0, 0, -7, -20, -272
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component.html", "HTML", 0, 0, 0, 0, -429, 0, 0, -13, -11, -453
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, -8, 0, -1, -9
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component.ts", "TypeScript", 0, 0, 0, -687, 0, 0, 0, -20, -52, -759
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\test.drawio", "Draw.io", 0, 0, 0, 0, 0, -59, 0, 0, 0, -59
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\add-recipe-category-modal\add-recipe-category-modal.component.html", "HTML", 0, 0, 0, 0, -112, 0, 0, -2, -4, -118
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\add-recipe-category-modal\add-recipe-category-modal.component.ts", "TypeScript", 0, 0, 0, -148, 0, 0, 0, -2, -20, -170
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\delete-recipe-category-modal\delete-recipe-category-modal.component.html", "HTML", 0, 0, 0, 0, -52, 0, 0, 0, -1, -53
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\delete-recipe-category-modal\delete-recipe-category-modal.component.ts", "TypeScript", 0, 0, 0, -58, 0, 0, 0, -1, -7, -66
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\edit-recipe-category-modal\edit-recipe-category-modal.component.html", "HTML", 0, 0, 0, 0, -93, 0, 0, -2, -4, -99
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\edit-recipe-category-modal\edit-recipe-category-modal.component.ts", "TypeScript", 0, 0, 0, -202, 0, 0, 0, -8, -24, -234
