"filename", "language", "JavaScript", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\schemas\payment-types.js", "JavaScript", -27, 0, 0, 0, -3, -30
"c:\Users\Josh\repos\doughleap\server\schemas\person-types.js", "JavaScript", -73, 0, 0, 0, -7, -80
"c:\Users\Josh\repos\doughleap\server\schemas\recipe-types.js", "JavaScript", -146, 0, 0, 0, -18, -164
"c:\Users\Josh\repos\doughleap\server\schemas\step-types.js", "JavaScript", -101, 0, 0, -2, -13, -116
"c:\Users\Josh\repos\doughleap\server\schemas\stockProduct-types.js", "JavaScript", -51, 0, 0, 0, -7, -58
"c:\Users\Josh\repos\doughleap\server\schemas\tag-types.js", "JavaScript", -117, 0, 0, 0, -15, -132
"c:\Users\Josh\repos\doughleap\server\schemas\tool-types.js", "JavaScript", -153, 0, 0, -3, -21, -177
"c:\Users\Josh\repos\doughleap\server\server.js", "JavaScript", -60, 0, 0, -3, -11, -74
"c:\Users\Josh\repos\doughleap\server\services\taxes.js", "JavaScript", -6, 0, 0, 0, -2, -8
"Total", "-", -5880, -2772, -1264, -199, -976, -11091
